Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CI-2014-329258,17/10/2014,23/10/2014,Standard Class,I-22280,Elpida Rittenbach,Consumer,United States,Chicago,Illinois,60601,East,TA-40495,Technology,Accessories,Plantronics CS510 Wireless Headset,2230.988,2,0.4,-821.4884
2,CNY-2011-325772,14/01/2011,21/01/2011,Same Day,NY-30379,Patrick Jones,Consumer,United States,New York City,New York,10001,Central,TA-54118,Technology,Accessories,Kensington 6170 Trackball,2015.519,12,0.4,-120.4262
3,CNC-2013-748564,29/07/2013,03/08/2013,First Class,NC-92397,Carlos Soltero,Corporate,United States,Charlotte,North Carolina,28201,East,FB-57400,Furniture,Bookcases,Sauder Classic Bookcase,316.4413,7,0,48.1119
4,HF-2011-974628,13/06/2011,20/06/2011,Standard Class,F-93320,Sean O'Donnell,Home Office,United States,Fort Lauderdale,Florida,33301,Central,TC-57819,Technology,Copiers,Xerox WorkCentre,585.8133,2,0.4,-71.4847
5,HNY-2013-821590,29/12/2013,04/01/2014,Second Class,NY-93886,Mick Brown,Home Office,United States,New York City,New York,10001,West,FF-83000,Furniture,Furnishings,Deflect-o Stackable Chair Mat,615.8033,8,0.4,-80.0866
6,CO-2011-514850,16/05/2011,18/05/2011,Same Day,O-75435,Sean O'Donnell,Corporate,United States,Columbus,Ohio,43201,Central,FF-94259,Furniture,Furnishings,Eldon Fold N Roll Cart System,2283.2746,10,0.3,-427.8251
7,HW-2014-214975,10/04/2014,14/04/2014,First Class,W-16175,Elpida Rittenbach,Home Office,United States,Seattle,Washington,98101,South,OB-30033,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,908.1811,3,0.5,-280.7102
8,CC-2013-814825,19/12/2013,22/12/2013,Same Day,C-25014,Andrew Allen,Corporate,United States,Denver,Colorado,80201,South,TC-80381,Technology,Copiers,Xerox WorkCentre,2427.8406,14,0,680.4834
9,CP-2012-982554,23/06/2012,28/06/2012,Same Day,P-49117,Rick Hansen,Consumer,United States,Philadelphia,Pennsylvania,19101,East,OL-93748,Office Supplies,Labels,Avery Color Coding Labels,1906.0957,9,0,896.8534
10,HG-2013-694916,27/09/2013,28/09/2013,Second Class,G-41571,Ken Black,Home Office,United States,Atlanta,Georgia,30301,Central,TC-20322,Technology,Copiers,Canon PC940 Copier,284.11,6,0.2,-45.6132
11,CM-2012-847581,26/06/2012,01/07/2012,Same Day,M-36365,Alejandro Grove,Consumer,United States,Minneapolis,Minnesota,55401,West,FT-50857,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,2181.7204,7,0.1,1153.9414
12,CM-2011-174441,12/05/2011,15/05/2011,Standard Class,M-10942,Emily Burns,Consumer,United States,St. Louis,Missouri,63101,West,OL-92719,Office Supplies,Labels,Avery 490 Gold Inkjet Labels,57.4805,9,0.1,10.8316
